"PGE_Owned","PGE_Total","CAISO"
"1",-32.1389816187813,60.8243683368871,670.985447222806
"2",-30.2457170976039,62.7778430090703,671.869729392819
"3",-18.3269806958761,72.0815123820938,649.31779133539
"4",-23.3856731409908,68.397383339707,657.044784375694
"5",-23.1469087653124,69.1489086881137,662.228179131409
"6",-17.55597814664,72.0894831383346,640.367527526906
"7",-8.59400125677059,81.415474050801,635.949461721198
"8",-24.1128627249703,67.0947439124459,652.223692802222
"9",-21.3943140393745,69.4052965424655,657.499713306349
"10",-34.4858415305598,56.9098871335069,654.96225006013
"11",-36.7528411223446,55.0602181921596,666.173852218099
"12",-33.1545071299387,61.3950958829622,685.547762717712
"13",-33.1079878644311,58.5969367118304,660.343858626115
"14",-26.0519818984925,66.3523600609546,667.530075339876
"15",-20.9837863381329,70.8475656940512,663.225608170563
"16",-23.4429070083575,69.0050182502269,672.252368390113
"17",-32.8098844634061,59.6828836103403,662.11008378842
"18",-40.0809154159326,55.2520785771265,706.715423605217
"19",-24.6635830465296,68.1182019098071,674.511142829728
"20",-28.6282688056979,63.5586693904502,656.81104900102
"21",-32.0713619788507,61.0997020406183,677.148901860163
"22",-28.7994320192341,63.6186188111754,673.798820238934
"23",-14.4517534649845,75.7728326164608,636.192398928148
"24",-29.9484173202182,64.7721758454187,685.689832457697
"25",-31.612361105685,62.2633699029543,685.365528615563
"26",-29.5192164223171,64.1101815976084,678.095968024771
"27",-14.970779176844,77.1069070903358,660.756299370428
"28",-34.1532992551181,58.3591430702951,672.785921380729
"29",-35.4345613858281,58.8541006820641,706.475654386456
"30",-26.9711587852171,63.3364772879484,638.89659360671
"31",-28.8758893351781,62.0778831810558,650.564551026748
"32",-7.05704071312167,82.8633092698732,621.057959328767
"33",-19.3632546219554,72.674621892513,656.410870497983
"34",-24.996838941116,66.7820577446627,661.856507351367
"35",-31.6865309574587,62.4166563073298,683.80674478432
"36",-33.4417710835782,57.3850657088801,664.805202303054
"37",-13.8664275576352,76.7655508883527,641.270623216864
"38",-37.051919264716,56.3519595547663,686.063204121163
"39",-24.6199328119212,68.4661687425795,671.576057943285
"40",-30.6984533586393,61.4479423940978,661.902192661173
"41",-27.3136202137714,63.0104784350323,635.381799480187
"42",-39.3948015764953,54.3887654015888,687.911042004307
"43",-31.9594448405312,61.3008678858637,669.869082817192
"44",-25.1602771394784,67.9281513969558,663.943747079344
"45",-32.0601119700363,62.0513387313051,686.513116196788
"46",-25.9311815124698,68.2234917586546,690.629578903688
"47",-31.702942109527,59.910560672382,663.159008896331
"48",-27.8218472971059,66.1169197506165,687.313750525159
"49",-18.2974428505834,74.1933596217873,671.696416941538
"50",-35.8106209829082,58.7714678197175,692.499559550272
"51",-39.4997333762629,54.482935427255,680.574934712969
"52",-41.8001667339915,51.671641365507,682.486787847744
"53",-24.3221725678136,66.3300167276742,651.866789795992
"54",-25.38233325785,66.5920594007935,666.742229410887
"55",-27.9880915325126,64.7298610697635,665.775451429379
"56",-34.6794934119707,58.8459119429433,690.824131195525
"57",-22.5965243282955,69.6910350788256,654.567985685962
"58",-23.3662416209631,69.8799529399782,684.774579595538
"59",-45.0906630072743,48.0148523344431,693.635615082458
"60",-39.7543909403401,55.2001172346823,712.709033878284
"61",-40.09752758211,54.0274684788745,689.548778657101
"62",-34.3685598071223,60.4928317671872,700.239172522181
"63",-19.351599175316,71.8772156292954,649.633586473933
"64",-24.862841477594,65.4984878070052,638.172269215167
"65",-18.9731756978158,71.7051276173993,651.861238055575
"66",-26.642458365454,63.5718532924162,638.747278228351
"67",-20.8139414755015,70.5055961898087,646.678572109922
"68",-25.1124672442853,69.0860036149957,689.404107073585
"69",-32.8610640992999,57.1327434887142,642.630298586647
"70",-36.9110618943455,56.5144606262471,670.21882006285
"71",-24.2330570847653,66.3818397123291,638.862578392543
"72",-26.5503668893019,64.8949564195068,650.72992255069
"73",-12.3751486379567,81.1438120999099,677.631498487335
"74",-13.2035719121239,76.2279977306993,616.278939492573
"75",-27.009825842347,64.6705458220522,658.082724369091
"76",-33.5469613319955,60.813191304313,677.844991976799
"77",-30.7671460632902,62.7573984849247,684.306449102719
"78",-34.5911659213938,58.6709942656966,679.369619142859
"79",-28.0266095413725,62.7001950815161,653.781121524946
"80",-39.1729119382653,52.9987175527155,666.203429175498
"81",-13.2954550210096,78.072676167898,645.265804051342
"82",-17.5968769674302,74.2337634880389,653.717471069162
"83",-25.6336842330075,67.5722621394362,678.452599760748
"84",-17.2736007055534,74.044987929994,646.276796274868
"85",-22.306541967141,67.9441044230976,636.304034653909
"86",-29.491367260807,62.0620326742623,656.73678636953
"87",-38.3805033005883,54.6087728652693,686.596731241742
"88",-39.3181292463435,54.8766566598915,690.370246377041
"89",-32.6010351219651,61.229352362545,679.698458325567
"90",-30.8473308832006,63.0841881515943,691.677545132736
"91",-18.3907533178917,73.0152527619594,656.356615613107
"92",-24.3410770910845,68.1751261931437,679.277564786116
"93",-20.0199483159994,70.055481113112,642.402308317939
"94",-27.3283614189447,64.6377354479081,665.898843846015
"95",-29.7156669782918,64.3397018619776,706.773135418928
"96",-28.4085217198887,65.1704444608069,686.376844544061
"97",-13.9224140549743,76.2074432766645,637.34225958586
"98",-18.4848187081258,72.3563613653225,633.871208214836
"99",-39.2060276037249,56.7921822295514,701.966102839959
"100",-32.3351645983714,60.3646812716099,675.17474557858
"102",-28.1817165390368,65.4695534554624,682.078084679737
"103",-33.1402154184174,61.443112193824,698.851825087746
"104",-23.9747230543963,68.7470222367515,666.639323910219
