"Unmanaged","Portfolio","Composite_index"
"1",11.5515690466024,11.5199511934608,11.6554058631175
"2",11.9023711411281,11.800372743414,11.8390320464239
"3",11.7164724286458,11.6604887434869,11.6531333339416
"4",11.777582407303,11.6755840095889,11.7142433125988
"5",12.0764448504549,11.9744464527408,12.0131057557507
"6",12.1799034988686,12.085730127831,12.1165644041644
"7",12.0329036638032,11.9952883128429,11.969564569099
"8",11.7057019791034,11.703534771604,11.6423628843992
"9",12.0695274043171,11.967529006603,12.0061883096129
"10",11.7348175984025,11.6722764349454,11.6848382992269
"11",11.812311553867,11.7103131561529,11.7489724591628
"12",12.0262536016939,11.9242552039798,11.9629145069897
"13",11.6476338762979,11.5456354785838,11.5842947815937
"14",11.7633457173696,11.6613473196555,11.7000066226654
"15",12.0330781056121,11.931079707898,11.9697390109079
"16",11.7265413681281,11.624542970414,11.6632022734239
"17",11.4581220440568,11.4581069473553,11.5879700895968
"18",12.0687704755196,11.9667720778055,12.0054313808154
"19",11.9084391196206,11.8064407219065,11.8451000249164
"20",12.0076329160525,11.9292378695681,11.9442938213483
"21",11.6700170697607,11.5722543423657,11.6066779750565
"22",12.0262436148933,11.9242452171792,11.9629045201891
"23",12.0107749648746,11.9927714500109,11.9474358701704
"24",11.9776937965022,11.8756953987881,11.914354701798
"25",11.9929011055216,11.8909027078075,11.9295620108174
"26",11.6293865431968,11.5683587076166,11.5660474484926
"27",11.6469439808814,11.6249417139899,11.5836048861772
"28",11.5331605624475,11.5601770739846,11.5816267208837
"29",11.9970099272003,11.945592113872,11.9336708324961
"30",11.8992542071556,11.8557993708456,11.8359151124514
"31",12.2073441383194,12.1053457406053,12.1440050436152
"32",11.9945996614006,11.9271584215705,11.9312605666964
"33",11.9254803239993,11.8234819262852,11.8621412292951
"34",12.0004273820036,11.8984289842895,11.9370882872994
"35",12.0818060772478,11.9798076795337,12.0184669825436
"36",12.1190808700346,12.0170824723205,12.0557417753304
"37",11.9431945752329,11.8638255332509,11.8798554805287
"38",11.8172140054284,11.7152156077143,11.7538749107242
"39",11.8343715228672,11.7323731251531,11.771032428163
"40",11.6540005202929,11.5520021225788,11.5906614255887
"41",11.5845048129532,11.5887665224233,11.6417735916176
"42",12.1160384455374,12.0140400478233,12.0526993508332
"43",12.1590864318082,12.0570880340941,12.095747337104
