"Market_Price","Net_revenue"
"1",37.3217214456488,11.5515690466024
"2",37.1660924852698,11.9023711411281
"3",39.8080316560488,11.7164724286458
"4",38.1615718144225,11.777582407303
"5",34.0792743308839,12.0764448504549
"6",38.0634998000854,12.1799034988686
"7",39.2677565287655,12.0329036638032
"8",39.9820072515753,11.7057019791034
"9",32.4679905159482,12.0695274043171
"10",36.7312715353029,11.7348175984025
"11",38.3053717538103,11.812311553867
"12",33.9008814151391,12.0262536016939
"13",38.3734123884622,11.6476338762979
"14",37.0737671135386,11.7633457173696
"15",35.2454399403153,12.0330781056121
"16",39.0675318056202,11.7265413681281
"17",40.4311035241527,11.4581220440568
"18",33.4465296566614,12.0687704755196
"19",34.5280471820308,11.9084391196206
"20",33.3235850477041,12.0076329160525
"21",38.1310522248835,11.6700170697607
"22",37.4858267390272,12.0262436148933
"23",31.6479899926551,12.0107749648746
"24",31.466161099146,11.9776937965022
"25",33.1323906156236,11.9929011055216
"26",38.4692475236875,11.6293865431968
"27",40.4601833425139,11.6469439808814
"28",40.9924973542597,11.5331605624475
"29",35.1069727914772,11.9970099272003
"30",38.587426616698,11.8992542071556
"31",34.7661121987053,12.2073441383194
"32",36.690159063735,11.9945996614006
"33",37.7742002022514,11.9254803239993
"34",35.6897388259559,12.0004273820036
"35",34.9686500674535,12.0818060772478
"36",34.9013680965416,12.1190808700346
"37",37.7898913898941,11.9431945752329
"38",37.476069881055,11.8172140054284
"39",36.0289467583356,11.8343715228672
"40",36.841498970624,11.6540005202929
"41",39.793266286983,11.5845048129532
"42",35.6377013492955,12.1160384455374
"43",32.2534342961731,12.1590864318082
"44",36.8163662900978,11.8463099617018
"45",36.7725063024722,11.794051017076
"46",32.0059675504397,12.167538023563
"47",34.2783900782822,12.1482788030006
"48",31.8599101425379,12.5831246549934
"49",34.8745976062025,11.9842164109313
"50",35.8904637509743,11.9707680750962
"51",38.8082932096347,11.9206265355337
"52",38.4044919333973,12.0006962589987
"53",40.8296806900959,11.5744191763791
"54",37.7468312646963,11.7417675992467
"55",38.6794287012022,11.7088454753486
"56",37.7545485092872,11.7557202447804
"57",37.087066468981,11.7803048907826
"58",37.1878443104441,12.225551059771
"59",38.4748093678652,11.8234092560123
"60",36.1629079614625,11.754254539366
"61",35.2826482580483,11.9323415702183
"62",37.0241847696414,12.0361649111447
"63",39.22010773019,11.9655696376165
"64",37.5212665724396,11.7166169549211
"65",37.1645982959214,11.948316187619
"66",35.7617505575422,11.8252512678354
"67",32.6486250885617,12.3205909760275
"68",36.1642258296177,11.9601953461945
"69",42.2045299907649,11.4282232034488
"70",36.9387511047176,11.7165145487042
"71",40.8088106366066,11.3720509341832
"72",39.8714325047757,11.8019316049974
"73",33.4058472301167,12.1747346301782
"74",37.3810487514982,11.5993335823306
"75",37.8423466768069,11.7821816630417
"76",36.2316249257102,11.9576098563454
"77",38.5489048138048,11.5692415111305
"78",37.3965662093234,11.8789217818386
"79",39.7591283186721,11.6013747859485
"80",38.6454928821939,11.5980312509218
"81",38.4558485130813,11.7327317647412
"82",37.4887392072761,11.8285890018962
"83",34.2399442539206,12.0573417801893
"84",35.5410057132845,12.0221369060859
"85",40.1652716886521,11.7614623360259
"86",38.0643070100612,11.8121907026773
"87",34.9842794351011,12.3020377074708
"88",32.7473016148027,12.0513966817664
"89",37.378715113254,11.879860964874
"90",36.8649422461191,11.7391990881764
"91",41.4327504315045,11.5027660660625
"92",38.6372537716931,11.8393391803735
"93",41.949257227009,11.3369985270409
"94",39.3640599432513,11.7317763990164
"95",34.3627407338408,12.1836460108701
"96",38.1752352156935,11.6876555613108
"97",40.5441740178681,11.6142283290234
"98",36.5060443563013,11.8439086306121
"99",34.8268728401361,11.7915895652
"100",41.0608453813769,11.6548548802761
"101",35.4076066774287,11.9180263575284
"102",34.8630036132321,11.8911477551786
"103",35.0787932454238,11.9736188216752
"104",35.8929765447248,11.8169396706982
"105",38.4092989175779,11.6248794532503
"106",34.4578487606139,12.0229159891554
"107",38.9807188774036,11.7518951480352
"108",35.6217343565603,11.7959016244989
"109",44.8835724127136,11.1064491945557
"110",41.6825736841097,11.370047545781
"111",39.5904428798816,11.7259310946955
"112",36.2573166455912,12.0837007478116
"113",35.8433557131178,11.9348398949249
"114",34.5271873836139,12.0892796970863
"115",34.5054021949896,12.2043606697032
"116",39.1615157742559,11.7315814233882
"117",33.8030410064923,11.8644398074691
"118",35.5925486134705,12.2672629704389
"119",30.9494424684789,12.2994008988868
"120",35.3201947222557,11.8768945360237
"121",41.2059270526741,11.3182314881325
"122",39.7914947207986,11.6264506605197
"123",33.5486091770128,12.3234225981853
"124",36.8439841565543,11.9295135814646
"125",34.8535679205106,12.1547868510459
"126",31.8134211305157,12.1181272300349
"127",36.6429457123536,12.087274708719
"128",37.3419712928645,11.9676291712755
"129",34.8701020446248,11.9967126546762
"130",38.9748462362779,11.8177462930176
"131",38.7761312426611,11.7698918226535
"132",32.1548629861378,12.2284470308587
"133",32.5563860640603,12.2440626320475
"134",31.4881139183816,12.0616898473922
"135",37.4995925759388,11.9529980306584
"136",31.3851283360143,12.2249616308413
"137",44.0446679662106,11.1811994528012
"138",38.5773194060537,11.7695354190432
"139",36.7561190987156,11.8118220714614
"140",34.5775164366163,11.8576874690976
"141",40.2703602662104,11.6234895860225
"142",38.9152081368811,11.7796492076846
"143",39.4744852504501,11.9289362344279
"144",37.4429149301363,11.8948255530865
"145",38.7685405024625,11.6384531536916
"146",35.7827541504626,11.7493748936555
"147",35.0583179738075,11.9092507639542
