"Unmanaged","Portfolio","Composite_index","Streamflow","CDD","NG"
"121",0,0.135887369897226,0,0.135887369897226,0,0
"122",0,0,0,0,0,0
"123",0,0,0,0,0,0
"124",0,0.00607371116685229,0,0.00607371116685229,0,0
"125",0,0.018791031159985,0,0,0.018791031159985,0
"126",0,0,0,0,0,0
"127",0,0,0,0,0,0
"128",0,0,0,0,0,0
"129",0,0.00836220487314776,0,0,0,0.00836220487314776
"130",0,0,0,0,0,0
"131",0,0,0,0,0,0
"132",0,0,0,0,0,0
"133",0,0.0117114160945189,0,0,0.0117114160945189,0
"134",0,0.00780224956526432,0,0.00780224956526432,0,0
"135",0,0.00414088687576353,0,0.00414088687576353,0,0
"136",0.464307466541905,0.300984038270256,0.281620435668732,0,0,0.300984038270256
"137",0,0,0,0,0,0
"138",0,0,0,0,0,0
"139",0,0,0,0,0,0
"140",0.00117852362390636,0.038081516581709,0,0,0,0.038081516581709
"141",0,0.00615414356146715,0,0,0,0.00615414356146715
"142",0,0.00358801825329813,0,0,0,0.00358801825329813
"143",0,0,0,0,0,0
"144",0,0,0,0,0,0
"145",0,0.14044668487092,0.0565813911321627,0.14044668487092,0,0
"146",0,0,0,0,0,0
"147",0,0.0390953266543921,0,0.00426025697418098,0,0.0348350696802111
"148",0,0,0,0,0,0
"149",0,0,0,0,0,0
"150",0.139003947516606,0,0.00386915142667199,0,0,0
"151",0.0105544937095061,0.0980330617521528,0.0122431178592137,0.0980330617521528,0,0
"152",0,0,0,0,0,0
"153",0,0,0,0,0,0
"154",0,0,0,0,0,0
"155",0,0,0,0,0,0
"156",0,0,0,0,0,0
"157",0,0,0,0,0,0
"158",0.153524453591405,0.157865858873725,0.114707604483279,0,0,0.157865858873725
"159",0.311588619352305,0.0394430999961077,0.11521237465589,0,0.0394430999961077,0
"160",0,0,0,0,0,0
"161",0,0,0,0,0,0
"162",0,0.116498264531225,0.0232863584861622,0.116498264531225,0,0
"163",0,0,0,0,0,0
"164",0,0,0,0,0,0
"165",0,0,0,0,0,0
"166",0,0,0,0,0,0
"167",0,0.0268172132688793,0,0,0.0268172132688793,0
"168",0.0897032730628062,0.0457679570396667,0.0536753438857041,0,0,0.0457679570396667
"169",0,0.00777736701221521,0,0,0,0.00777736701221521
"170",0,0,0,0,0,0
"171",0,0,0,0,0,0
"172",0,0.0607589030259934,0,0,0,0.0607589030259934
"173",0,0,0,0,0,0
"174",0.109309530236505,0,0,0,0,0
"175",0,0,0,0,0,0
"176",0,0,0,0,0,0
"177",0,0,0,0,0,0
"178",0,0.033824193860621,0,0,0.033824193860621,0
"179",0.144711312504706,0.133244180998409,0.183408747990999,0.0812817168194879,0,0.0519624641789207
"180",0,0,0,0,0,0
"181",0,0,0,0,0,0
"182",0,0.0719901770491873,0.000189376502303773,0,0,0.0719901770491873
"183",0,0,0,0,0,0
"184",0,0,0,0,0,0
"185",0,0.0515451676499108,0,0,0.0515451676499108,0
"186",0,0,0,0,0,0
"187",0,0,0,0,0,0
"188",0,0.108945215915281,0,0.00739088822267675,0,0.101554327692604
"189",0,0,0,0,0,0
"190",0,0,0,0,0,0
"191",0,0.00937926065669714,0,0.00937926065669714,0,0
"192",0,0,0,0,0,0
"193",0,0,0,0,0,0
"194",0,0.0928533725779292,0.0277664931833179,0,0,0.0928533725779292
"195",0.121376784607605,0.0155285115343808,0.0691595683767758,0,0.00234437817518618,0.0131841333591947
"196",0,0.104681419928605,0,0,0,0.104681419928605
"197",0,0,0,0,0,0
"198",0,0.101912459184678,0.102257152242691,0.101912459184678,0,0
"199",0,0,0,0,0,0
"200",0.0193208327793055,0.147620122722099,0.102343448069409,0.0357774228637187,0,0.11184269985838
"201",0,0.00397964379972748,0,0,0.00397964379972748,0
"202",0,0,0,0,0,0
"203",0,0,0,0,0,0
"204",0,0,0,0,0,0
"205",0,0,0,0,0,0
"206",0,0.0506105948258462,0.00746385777135572,0,0.0506105948258462,0
"207",0.0978587020098054,0.0024183425314348,0,0,0,0.0024183425314348
"208",0.014522118525905,0,0,0,0,0
"209",0,0.0857183691941152,0,0.0857183691941152,0,0
"210",0,0.0907588301523159,0.0216782634728698,0,0.0315157313781249,0.059243098774191
"211",0,0.0165780615890405,0,0,0.0165780615890405,0
"212",0,0,0,0,0,0
"213",0.143123107067806,0.0789156904256014,0.136232949919528,0,0.0121651831916978,0.0667505072339036
"214",0.0267096416049046,0.0736730778326855,0.0455483527671046,0,0,0.0736730778326855
"215",0,0,0,0,0,0
"216",0.0884620756274064,0.0415428018810999,0,0,0,0.0415428018810999
"217",0,0,0,0,0,0
"218",0,0,0,0,0,0
"219",0,0,0,0,0,0
"220",0,0,0,0,0,0
"221",0,0.0862363606880461,0,0.0862363606880461,0,0
"222",0,0.136799760413641,0,0,0,0.136799760413641
"223",0.0581538257104057,0.244016056428906,0.00534201972714676,0,0,0.244016056428906
"224",0,0.0684316507678258,0,0,0.0684316507678258,0
"225",0,0,0,0,0,0
"226",0,0,0,0,0,0
"227",0,0.00734769021642911,0,0,0,0.00734769021642911
"228",0,0,0,0,0,0
"229",0,0.0943290047970287,0,0.0943290047970287,0,0
"230",0,0,0,0,0,0
"231",0,0.0317733985364086,0,0.0317733985364086,0,0
"232",0,0.219715446533874,0.0682300408084586,0,0,0.219715446533874
"233",0,0.0237584779080589,0,0,0.0237584779080589,0
"234",0,0,0,0,0,0
"235",0,0,0,0,0,0
"236",0,0,0,0,0,0
"237",0,0,0,0,0,0
"238",0,0,0,0,0,0
"239",0,0,0,0,0,0
"240",0,0,0,0,0,0
"241",0.195300815655106,0.10900205881957,0.180281566824064,0,0,0.10900205881957
"242",0,0,0,0,0,0
"243",0,0,0,0,0,0
"244",0,0.00474575850861214,0,0,0,0.00474575850861214
"245",0,0.0374948570008158,0,0.0374948570008158,0,0
"246",0,0,0,0,0,0
"247",0,0,0,0,0,0
"248",0,0.00824285020765103,0,0,0,0.00824285020765103
"249",0,0,0,0,0,0
"250",0,0,0,0,0,0
"251",0,0,0,0,0,0
"252",0.0437587385823051,0.0164544511937912,0.0503660744990562,0,0,0.0164544511937912
"253",0,0,0,0,0,0
"254",0.249340223156006,0.35277202762907,0.334748054429427,0,0,0.35277202762907
"255",0,0.193087420661664,0.0388739296539971,0,0,0.193087420661664
"256",0,0.00400489412497684,0,0,0.00400489412497684,0
