"Market_Price","Net_revenue"
"1",32.2443542975866,11.8702268683197
"2",31.9605700282595,12.2342821161108
"3",34.4794307760179,12.0927264078401
"4",32.8325804515563,12.1358105856592
"5",28.8439323355949,12.4023635589588
"6",32.7790535785806,12.524706949897
"7",33.9613871064546,12.3827193996295
"8",34.6357742200048,12.059731704199
"9",27.5700601439424,12.3427686790947
"10",31.8370999342453,12.0147491651943
"11",33.0940581767092,12.1423158537294
"12",28.7741308812378,12.3157824161925
"13",33.0582442431895,11.9985488397127
"14",31.9467509734315,12.0858510764631
"15",30.0593319193754,12.3578795526384
"16",33.3660514897448,12.1411719537324
"17",35.0959400292741,11.7997506997484
"18",27.6543396163836,12.420306522779
"19",29.3734554426883,12.2140504347905
"20",28.5953152078909,12.2599838138988
"21",32.9168129727927,12.0079691663672
"22",32.3230407387798,12.3362623970963
"23",27.517205831751,12.2122523392621
"24",26.3105018339506,12.2574924096383
"25",28.2612244415377,12.273858624693
"26",32.6812287270457,12.0303878861847
"27",34.7309090928326,12.0606273859042
"28",35.7283027573279,11.8893900240413
"29",29.4991058089073,12.3491496688442
"30",33.4906887841672,12.2108131267812
"31",29.8918875510564,12.4882615515699
"32",32.07524526016,12.2683634596902
"33",32.3850580742255,12.2803594507883
"34",30.3086804461908,12.3375249315485
"35",29.771112178862,12.4016978126855
"36",30.0390970521953,12.3973684158204
"37",32.9754203078505,12.2467275969178
"38",31.6788491682803,12.1979311184291
"39",30.7730248340696,12.167115904186
"40",31.7578791143453,11.9484065788206
"41",34.8515722233319,11.8988992841354
"42",30.3722908992832,12.4321128909036
"43",27.3709329323644,12.4181612859378
"44",31.8166209238409,12.1595231366013
"45",31.3110668615474,12.147206012171
"46",26.7895875692783,12.4740085777191
"47",29.0252792256395,12.4443130086645
"48",27.1624794608231,12.840859184873
"49",29.4799623899401,12.3367915708454
"50",30.2490682985858,12.3282424238976
"51",32.7969996994411,12.3116145410843
"52",32.5565839531518,12.38849362689
"53",35.2841566201442,11.9525652815623
"54",32.496649529021,12.0800384637609
"55",33.357421233326,12.0776465517192
"56",32.2743314759621,12.128489094238
"57",31.9536023253934,12.1051090352451
"58",31.4396508307612,12.6330589430049
"59",32.7942547502693,12.1769444370387
"60",30.2511305005213,12.1405621976233
"61",29.7577345599199,12.2641885091993
"62",31.4436401111628,12.3990339058521
"63",34.2467777023978,12.2969454916306
"64",32.1219163202375,12.0547634411187
"65",31.8332846710742,12.2900470259826
"66",30.7326145665438,12.1182293418582
"67",28.0137130276092,12.5650319402284
"68",30.537277127139,12.326516050113
"69",37.0141170490358,11.7836243150846
"70",32.0040115343412,12.0171955700621
"71",35.7729125776187,11.7017861706592
"72",34.7186070340289,12.1283621648664
"73",28.399651650734,12.4767909888774
"74",32.8888912134397,11.8665183464914
"75",32.3686581219679,12.1340587002732
"76",31.156449320178,12.2562359979356
"77",33.2189795802249,11.932940936954
"78",32.0537233965965,12.2146644750193
"79",34.3717755371871,11.9739365727161
"80",33.4612648040648,11.9063629974254
"81",32.8933284485832,12.1181179747869
"82",32.3184137419142,12.1795928448033
"83",29.2360309705292,12.3447662649846
"84",30.7457627312536,12.3066572256278
"85",34.8460950985405,12.1343585063861
"86",32.7385400789049,12.1588993379085
"87",29.8038219483128,12.62502533366
"88",27.4607468451543,12.3384936223799
"89",31.9893723926317,12.230819365721
"90",30.9437668706232,12.149547085346
"91",35.9492630876803,11.9115765990531
"92",33.1615120262779,12.2241068255587
"93",36.4154190208885,11.7252706696527
"94",33.6304769552667,12.1438027166593
"95",28.7120350437465,12.5650117463082
"96",32.6969885855287,12.0381577891408
"97",35.2156731838144,11.9757132399073
"98",31.8240309666891,12.122695336822
"99",28.92452476145,12.1826322354316
"100",35.0515889009839,12.0879722738826
"101",30.33376955627,12.2308901590847
"102",29.7259817517606,12.212211714071
"103",29.6808879667907,12.3117174441074
"104",30.8305912843839,12.1357015065097
"105",33.302026883391,11.969126035524
"106",29.2821836613732,12.3243022042707
"107",33.2875479005945,12.1381825606686
"108",30.4576151772073,12.1044738789197
"109",39.6023549264739,11.4754305971972
"110",36.3016868480888,11.7509872805216
"111",33.8364546483829,12.1443935732929
"112",30.6781798403192,12.465669017357
"113",29.9651205510361,12.3393818554977
"114",29.3764019533607,12.4224808856354
"115",29.7936141552184,12.486714660197
"116",33.5969517589151,12.1298421218967
"117",28.5419423282377,12.1886495653444
"118",30.0508596644668,12.6066325613009
"119",25.9539811612013,12.5679252624276
"120",30.0856880388877,12.2107475288837
"121",35.4044423519358,11.7697038796937
"122",33.5616550160356,12.0504410178522
"123",28.6093201451318,12.6290522618991
"124",31.4360016804109,12.2836475447372
"125",29.2960318437701,12.5140682121578
"126",26.9937842288784,12.369137270233
"127",31.4321932704625,12.4016299258169
"128",31.8314671537033,12.3386619366227
"129",29.5946076419189,12.3127125995605
"130",33.6768257628973,12.1940941715657
"131",33.7514851089274,12.0918389328762
"132",26.8026081873967,12.5344567813558
"133",27.3118294641798,12.5363792038669
"134",26.4490003051321,12.3472853378818
"135",31.7667806362492,12.3625709494761
"136",26.2268627494543,12.5043151412429
"137",38.8652465584928,11.544082307321
"138",33.365612303778,12.1158489920124
"139",31.1686323301571,12.1698717268987
"140",30.0223864538021,12.1101868770135
"141",34.7365273449066,12.007211250239
"142",33.6842951310845,12.1286224377584
"143",34.1107028051338,12.2735382705151
"144",31.9694926690138,12.2606931287812
"145",33.1772709569129,12.0172951686528
"146",30.2143473555501,12.1121489778082
"147",29.641501492728,12.2373191930394
"148",33.9127882577952,12.2086549367255
