name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,Check eGIRD,CO2rate(lbs/MWh),NOXrate(lbs/MWh),SO2rate(lbs/MWh),CO2Tax($/MWh),NOXTax($/MWh),SO2Tax($/MWh),PMTax($/MWh),LAT,LON
SBERDO_2_PSP3,ngcc,SCE,525,5.83,6.09,6.35,210,525,2,2,2,241.3284133,36750,TRUE,864.292,0.092,0.004,18.57451457,0.566996,0.03037,1.339397,34.0818,-117.2418
SBERDO_2_PSP4,ngcc,SCE,525,5.83,6.09,6.35,210,525,2,2,2,241.3284133,36750,TRUE,864.292,0.092,0.004,18.57451457,0.566996,0.03037,1.339397,34.0818,-117.2418
SCHLTE_1_PL1X3,ngcc,PGE_valley,332.28,6.33,6.59,6.85,133,333,1,1,2,152.7675277,23259.6,TRUE,985.874,0.076,0.005,21.18743547,0.93727,0.1209375,3.38229,37.7107,-121.4906
SENTNL_2_CTG1,ngct,SCE,92.09,7.63,7.7,7.76,33,93,1,1,3.17,38.90410959,6446.3,TRUE,1218.58,0.106,0.006,26.18852421,1.051308,0.209874,2.940709,33.934167,-116.571388
SENTNL_2_CTG2,ngct,SCE,92.4,7.63,7.7,7.76,33,93,1,1,3.17,38.90410959,6468,TRUE,1218.58,0.106,0.006,26.18852421,1.051308,0.209874,2.940709,33.934167,-116.571388
SENTNL_2_CTG3,ngct,SCE,92.36,7.63,7.7,7.76,33,93,1,1,3.17,38.90410959,6465.2,TRUE,1218.58,0.106,0.006,26.18852421,1.051308,0.209874,2.940709,33.934167,-116.571388
SENTNL_2_CTG4,ngct,SCE,91.98,7.63,7.7,7.76,33,92,1,1,3.17,38.90410959,6438.6,TRUE,1218.58,0.106,0.006,26.18852421,1.051308,0.209874,2.940709,33.934167,-116.571388
SENTNL_2_CTG5,ngct,SCE,91.83,7.63,7.7,7.76,33,92,1,1,3.17,38.63013699,6428.1,TRUE,1218.58,0.106,0.006,26.18852421,1.051308,0.209874,2.940709,33.934167,-116.571388
SENTNL_2_CTG6,ngct,SCE,92.16,7.63,7.7,7.76,33,93,1,1,3.17,38.90410959,6451.2,TRUE,1218.58,0.106,0.006,26.18852421,1.051308,0.209874,2.940709,33.934167,-116.571388
SENTNL_2_CTG7,ngct,SCE,91.84,7.63,7.7,7.76,33,92,1,1,3.17,38.63013699,6428.8,TRUE,1218.58,0.106,0.006,26.18852421,1.051308,0.209874,2.940709,33.934167,-116.571388
SENTNL_2_CTG8,ngct,SCE,91.56,7.63,7.7,7.76,33,92,1,1,3.17,38.63013699,6409.2,TRUE,1218.58,0.106,0.006,26.18852421,1.051308,0.209874,2.940709,33.934167,-116.571388
SGREGY_6_SANGER,ngct,PGE_valley,48.3,8.02,8.08,8.15,17,49,1,1,3.17,20.2739726,3381,TRUE,852.395,0.11,0.004,18.31883594,0.612645,0.05751,1.258577,36.6842,-119.5522
